                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level,BG3 (All Classes),,Baseline Arms Warrior Abilities (This is the Arms order),,Baseline Protection Warrior Spells (This is the Protection order),,,Baseline Fury Warrior Abilities (This is the Fury order),,Warrior Class Talents (All subclasses has these abilities),,,,,,,,,,,,,Arms Spec Talents (Only for Arms),,,,,,,,,,,,, Fury Spec Talents (Only for Fury),,,,,,,,,,,Protection Warrior Spec Talents (Only for Protection),,,,,,,,"Mountain Thane Talents (Protection, Fury)",,,"Colossus Talents (Arms, Protection)",,,"Slayers Talents (Arms, Fury)",,,,,,,,,,
,Attacks,Feats,Auto Grant,,,,,,,AutoGrant,,Choose one for this per level,,,,,,,,,Notes,,Auto Grant,,,,Pick one for this level,,,,,,,,,Auto Grant,,,Pick one for this level,,,,,,,,Auto Grant,Pick one for this level,,,,,,,Auto Granted,,,Auto Granted,,,Auto Granted,,,,,,,,,,
,,,Offensive Abilities (Auto Grant),Utility Abilities (Auto Grant),Offensive Abilities (Auto Grant),Utility Abilities (Auto Grant),Passives (Auto Grant),Offensive Abilities (Auto Grant),Utility Abilities (Auto Grant),Stance,Stance,General Class Abilities,,,,,,,,,,,Passive,,Arms Ability,,,,,,,,,,,Passive,,Fury Ability,,,,,,,,,Protection Ability,,,,,,,,Mountain Thane Talents,,,Colossus Talents,,,Slayers Talents,,,,,,,,,,
1,,, Whirlwind (WAR__Whirlwind_), Charge, Shield Slam, Taunt, Mastery Critical Block, Whirlwind, Berserker Rage, Battle Stance, Defensive Stance,,,,,,,,,,Row 1 of Warrior Class Talents,, Seasoned Soldier - increases Arms rage generation from critical strikes., Mastery: Deep Wounds - enables scaling damage from Mastery., Mortal Strike (MS) - primary attack forming the basis of the rotation.,,,,,,,,,,, Titan's Grip (TG) - passive bonus which allows dual wielding two-handed weapons., Mastery: Unshackled Fury - passive bonus which scales damage with Mastery., Bloodthirst (BT) - Primary attack which forms the basis of the rotation.,,,,,,,,," Ignore Pain (IP) - Core defensive skill, must-have talent.",,,,,,,,,,,,,,,,,,,,,,,,
2,,,,, Devastate,,,,,,, Fast Footwork, War Machine, Leeching Strikes, Intervene ,,,,,,Row 2 of Warrior Class Talents,,,,, Overpower (OP) - secondary attack which buffs Mortal Strike.,,,,,,,,,,,, Raging Blow (RB) - Primary attack which forms the basis of the rotation.,,,,,,,,,, Revenge - Core offensive AoE Rage spender. Must-have talent., Demoralizing Shout (Demo or DS) - Minor defensive cooldown with good talent synergy deeper in the tree. Must-have talent.,,,,,,,,,,,,,,,,,,,,,,
3,,, Execute, Pummel, Heroic Throw, Shield Block, Riposte, Slam, Charge,,, Impending Victory, Heroic Leap, Storm Bolt,,,,,,,Row 3 of Warrior Class Talents,,,,,, Martial Prowess - enables Overpower's buff., Die by the Sword (DbtS) - Arms primary defensive cooldown., Improved Execute - enables Arms Execute.,,,,,,,,,, Frenzied Enrage - greatly increases the speed of Fury gameplay., Powerful Enrage - large damage increase without increasing the speed of Fury gameplay., Enraged Regeneration (ER) - Fury's primary defensive cooldown., Improved Execute - turns Execute into a rage generator.,,,,,," Brace For Impact (BFI)- Stacking buff that grants 10% Shield Slam damage and 5% Block Value per stack. Extremely easy to maintain 2-3 stacks, which provides incredible value for a single point. Absolutely mandatory talent."," Armor Specialization - Basic Armor increase, has synergy with other talents to increase Strength."," Fight Through the Flames (FTTF) - Newly added in The War Within, reduces magic dmg taken while in Defensive Stance, not overly useful for most situations. Niche application in Mythic Plus, more useful in Raid."," Devastator - Excellent rotation-smoothing talent, must-have talent. DO NOT TRY TO SKIP THIS.",,,,,,,,,,,,,,,,,,,,
4,,Add Feat,,, Victory Rush,,,,,,, Intimidating Shout, Second Wind, Frothing Berserke, Bounding Stride, Pain and Gain, Thunder Clap,,,,Row 4 of Warrior Class Talents,,,,,, Improved Overpower - insignificant damage increase.," Bloodsurge - provides minor rage generation against a single target, but ramps greatly against multiple.", Fueled by Violence - minor amount of passive healing which ramps against multiple targets.," Storm Wall - heals on any parry, not just when Die by the Sword is active.", Ignore Pain (IP) - on-demand defensive trading rage for survivability.," Sudden Death (SD) - enables proc-based gameplay, now stacking up to two times."," Fervor of Battle (FoB) - single target damage enhancement, which also allows the abilities to stack Collateral Damage. The auto-cast Slam does not cost rage.",,,,,, Improved Bloodthirst - very small but worthwhile damage increase.," Fresh Meat - useful leveling talent, but not very useful anywhere else.", Warpaint - strong passive damage reduction.," Invigorating Fury - situationally useful in PvP, but otherwise much worse than Warpaint."," Sudden Death (SD) - allows more proc based gameplay, and can now stack up to two times."," Cruelty - notable damage increase, though only while Enraged.",,,," Disrupting Shout - Reduces the cooldown of Challenging Shout to 90s and converts it into an AoE taunt/interrupt. Cool concept, decent in Mythic+, and useful on some raid bosses!", Best Served Cold (BSC) - Increases , Strategist - Critical rotational functionality. Absolutely mandatory talent. Not just for pathing reasons.,,,,,,,,,,,,,,,,,,,,,
5,Grant Extra Attack,, Hamstring, Battle Shout,, Charge, Shield Block, Victory Rush, Pummel,,, Cacophonous Roar, Menace, Spell Reflection, Rallying Cry , Shockwave , Barbaric Training,,,,Row 5 of Warrior Class Talents,,,,,, Tactician - calculates the total rage spent on an ability and converts it into a chance to reset the cooldown on Overpower.," Colossus Smash (CS) - Arms' primary offensive cooldown, which also inflicts Deep Wounds."," Impale - increases the extra critical hit damage inflicted by crits, meaning it's closer to a 5% damage bonus than 10%.",,,,,,,,,," Focus in Chaos - removes the 19% dual wield miss penalty from auto-attacks, although they can still be parried."," Rampage (Ramp) - the core of Fury's rotation, converting rage into damage and Enrage.", Improved Raging Blow - critical talent which enables Raging Blow resets.,,,,,,," Last Stand (LS) - Basic defensive cooldown, grants bonus health for 15 seconds. Good reactive cooldown. Mandatory talent.", Instigate - Basically auto-attack rage generation by 2 and performs very well., Rend - Excellent DPS increase applied passively by ," Bloodsurge - a small chance for deep wounds to grant 5 Rage. Warriors apply Deep Wounds by performing their normal rotation. This talent scales directly with target count, making it substantially better in AoE. However, loses to "," Fueled by Violence (FbV) - Moderate self-healing gain in all-out AoE. Freshly buffed, strong talent."," Brutal Vitality (BrV)- This grants ~8% Leech whenever Ignore Pain is active. It's a decent boost to self-sustain, especially since the dmg from ",,,,,,,,,,,,,,,,,,
6,,,,, Slam,,,,,,, Honed Reflexes, Crushing Force, Bitter Immunity, Overwhelming Rage , Rumbling Earth, Reinforced Plates,,,,Row 6 of Warrior Class Talents,,,,,, Skullsplitter (SkS) - condenses bleed damage into short cooldown windows and generates a moderate amount of rage., Rend - inflicts a moderately strong bleed which interacts with several other talents across the tree., Finishing Blows - increases rage generation during the Execute phase to fuel its higher costs.," Anger Management (AM) - an indispensable talent, creating more frequent increased damage windows.", Spiteful Serenity - a very underwhelming talent with its own negative bonus in addition to strong competition in Anger Management., Exhilarating Blows - allows more casts of Mortal Strike and Cleave.," Collateral Damage - gains a stack for each single target attack cleaved by Sweeping Strikes, which includes the free Slam cast by Fervor of Battle, creating great synergy between them."," Cleave - Arms' primary multitarget attack, which also inflicts Deep Wounds.",,,,," Single-Minded Fury - increase the effectiveness of dual wielding one-handed weapons, but not by enough to make them competitive with two-handed weapons."," Cold Steel, Hot Blood (CSHB) - inflicts a powerful bleed, which can be applied to multiple targets via Whirlwind.", Vicious Contempt (VC) - promotes Bloodthirst playstyles by greatly increasing its damage during the execute phase.," Frenzy - semi-passive haste buff, with the downside of easily falling off when regularly switching targets.", Hack and Slash (HnS/H&S) - very important reset mechanic for Raging Blow builds., Slaughtering Strikes - provides a significant damage boost for Rampage and greatly emphasizes Raging Blow's role in the rotation., Ashen Juggernaut - provides a significant damage boost when using Execute regularly.," Improved Whirlwind - enables Fury's ability to cleave single target attacks onto other targets, forming the basis of its multitarget rotation.",, Unnerving Focus - Increases Rage Generation while  Last Stand is active. Has rarely seen play., Bolster - Reduces the cooldown of  Last Stand to 2 minutes and grants  Shield Block. Can find a niche application if the lower cooldown is beneficial.," Thunderlord (TL) - Good cooldown reduction for demoralizing Shout that synergizes with other talents in the tree. Good talent in AoE, very mediocre in single target."," Sudden Death (SD) - Excellent single-target damage proc, adds up to quite a bit of damage throughout a raid fight.","Heavy Repercussions (HR) - Increases Rage Generation of  Shield Slam by 2, which is also multiplied by  Violent Outburst. But more importantly, it increases  Shield Block duration by 1 second every time you press  Shield Slam, resulting in pretty much infinite  Shield Block uptime. Mandatory pick for low haste levels early in an expansion.", Punish - Increases  Shield Slam damage and causes the hit enemy to deal less damage to you., Hunker Down - Increases  Spell Reflection magic damage reduction and grants you 2% passive AoE damage reduction.,,,,,,,,,,,,,,,,,
7,,, Slam, Berserker Rage,, Pummel, Vanguard, Execute, Battle Shout,,, Wrecking Throw, Shattering Throw, Sidearm, Double Time , Seismic Reverberation, Concussive Blows, Berserker Shout, Piercing Howl, Barbaric Training - worthwhile filler ability damage.,Row 7 of Warrior Class Talents,,,,,," Bloodborne - general bleed damage increase, which synergizes well with other bleed talents found throughout the tree.", Dreadnaught (DN) - a multitarget option for Overpower., Strength of Arms (SoA) - a single/two target power increase for Overpower.," In For The Kill (IftK) - has the same duration of Colossus Smash, with good benefit against both single and multiple targets."," Test of Might (ToM) - stacks up a powerful strength buff, effectively extending the increased damage window created by Colossus Smash."," Blunt Instruments - a single target alternative to Warbreaker, which also extends the duration of In for the Kill and Test of Might."," Warbreaker (WB) - turns Colossus Smash into a multitarget attack, extremely important for effective AoE damage.", Massacre - allows more frequent use of Execute.," Storm of Swords - largely unnecessary, resulting in overcapping.",,,, Bloodborne - a large boost to bleed damage for builds that invest in it.," Bloodcraze - creates strong synergy between Raging Blow and Bloodthirst, though it resets after any critical strike from Bloodthirst."," Recklessness (Reck) - Fury's primary offensive cooldown, greatly increasing rage generation and the frequency of Rampage casts.", Massacre - allows more frequent use of Execute., Wrath and Fury - a moderate damage and reset chance increase for Raging Blow., Meat Cleaver - reduces the amount of Whirlwind casts needed to maintain multitarget cleave.,,,," Tough as Nails (TaN) - Passive damage output whenever you block an attack, recently buffed, however, still not a popular or strong choice."," Shield Wall (SW)- Iconic, mandatory defensive cooldown. The ultimate tank defensive cooldown. Take it."," Enduring Defenses (ED) - Incredible defensive bonus, simply grants 33% more Shield Block uptime. Massive increase to Protection Warrior’s ability to survive damage in any situation.", Unyielding Stance - Simple increase of  Defensive Stance damage reduction. Required for pathing., Red Right Hand - Simple increase of  Execute damage. Great in combination with other Execute talents.,,,,,,,,,,,,,,,,,,,
8,,Add Feat,,, Whirlwind,,,,,,, Cruel Strikes, Wild Strikes, Dual Wield Specialization, Armored to the Teeth,,,,,,Row 8 of Warrior Class Talents,,,,,," Deft Experience - a minor Mastery increase, with the much more important effect of doubling the chance to trigger Tactician."," Valor in Victory - a minor Versatility increase, which also reduces the cooldown of Die by the Sword."," Critical Thinking - a minor Critical Strike increase, with a very impactful rage refund for Execute, which is also additive with Improved Execute for a combined 30% refund.",,,,,,,,,," Raging Armaments - minor mastery buff, with a very important Enrage extension, which helps keep Bloodthirst active in the rotation."," Swift Strikes - a minor haste buff, with a small rage generation increase which adds up significantly over the course of a dungeon or encounter."," Critical Thinking - a minor critical strike buff, with a small critical strike damage buff which is of much greater value in combination with Reckless Abandon.",,,,,,, Defender's Aegis (DA) - Grants a 2nd charge of  Shield Wall and significantly reduces the base cooldown., Impenetrable Wall (Imp Wall) - Reduces the cooldown of  Shield Wall whenever you cast  Shield Slam.," Focused Vigor (FV) - Amazing Talent, offers huge amounts of damage output and Armor for just 1 Talent point, not mandatory for pathing but heavily encouraged to pick up!"," Shield Specialization - Outstanding defensive bonus. Greatly reduces damage taken from blockable hits and is crucial for pathing to the Talents that enable the ""Rage Feedback Machine"" further.", Enduring Alacrity (EA) - A significant increase in Health and 2% Haste gain makes this talent one of the most attractive talents on our talent tree.," Anger Management (AM)- Fantastic cooldown reduction talent that rewards you for spending Rage by increasing the uptime on your two strongest cooldowns. Never skip this talent, under any circumstances.",,,,,,,,,,,,,,,,,,
9,,, Victory Rush, Taunt,, Battle Shout,, Hamstring, Taunt,,, Thunderous Roar, Avatar, Champion's Spear,,,,,,,Row 9 of Warrior Class Talents,,,,,, Battlelord - creates an entertaining gameplay loop of Mortal Strike refreshing Overpower via Tactician and Overpower refreshing Mortal Strike via Battlelord.," Bloodletting - a very important bleed damage increase, which reduces the amount of maintenance required to maintain the debuffs and synergizes very well with Skullsplitter and Thunderous Roar/Words."," Bladestorm (BS) - Arms major multitarget cooldown, with several very powerful follow-on talents."," Ravager (Rav) - a passive alternative to Bladestorm, more suited for use against individual targets.", Sharpened Blades - a moderate damage increase for Arms' most important rotational abilities.," Juggernaut - provides a large ramping damage increase, though not well suited for short encounters and susceptible to dropping during downtime.",,,,,,," Onslaught (Ons) - a moderately strong standalone attack, which helps fill extra GCDs in the rotation."," Anger Management (AM) - reduces Recklessness down to an average of 45-50s cooldown, aligning rather well with Odyn's Fury."," Reckless Abandon (RA) - causes Bloodthirst and Raging Blow to be replaced by stronger versions - Bloodbath and Crushing Blow, creating a powerful gameplay loop."," Bladestorm (BS) - the premier multitarget damage ability, which has a reduced 4s duration and quickly generates a very large amount of rage for Fury."," Ravager (Rav) - strong passive damage alternative to Bladestorm, more suitable against single targets.", Odyn's Fury (OF) - a very powerful burst damage attack with a short lingering bleed.,,,," Massacre - Straightforward, powerful increase to Protection Warrior’s Execute damage. Amazing offensive talent.", Booming Voice (BV) - Turns Demoralizing Shout into a good offensive cooldown and Rage generation tool. Grants 30 rage and synergizes very nicely with , Indomitable (Indom) - Extremely valuable defensive talent. Substantially increases tankiness and grants a steady trickle of self-healing. Mandatory if you want to call yourself a tank.," Violent Outburst (Outburst or VO) - Excellent Rage generation increase, one of the vital pillarstones to the ""Rage Feedback Machine"" to deal huge amounts of damage and be an absolute brick house of a tank.", Heavy Handed - Allows  Execute to strike 2 additional targets for a reduced amount. Great for raiding and overall damage output!,,,,,,,,,,,,,,,,,,,
10,,,,, Hamstring,,,,,,, Uproar, Thunderous Words, Berserker's Torment, Titan's Torment, Piercing Challenge, Champion's Might ,,,,Row 10 of Warrior Class Talents,,,,,," Fatality - provides increased damage during Execute, while keeping the abilities used before Execute relevant. It cannot critically strike and does not benefit from class buffs such as Colossus Smash or Avatar, but it can be buffed by primary stat increases like Test of Might or potions."," Dance of Death - provides a significant damage increase for Bladestorm and can be chained from pack to pack, but the timing does not work cleanly with all of Bladestorm's other follow-on talents."," Unhinged - a significant single/two target damage increase while using Bladestorm or Ravager, highly effective in combination with other effects that synergize with Mortal Strike."," Merciless Bonegrinder - a major damage increase for Cleave or Whirlwind, creating strong AoE damage windows."," Executioner's Precision (EP) - provides great value to Mortal Strike, keeping the ability relevant during Execute.",,,,,,,," Tenderize - greatly increases the value of Onslaught, both in jumpstarting the rotation and increasing the damage of Rampage.", Unhinged - provides a deceptively powerful bonus to both single and multitarget damage during either Bladestorm or Ravager.," Storm of Steel - gives Ravager a second charge, which is fairly important in most content."," Unbridled Ferocity - randomly triggers Recklessness, though its low proc chance leaves it generally uncompetitive."," Depths of Insanity - generally uncompetitive, due to its small impact on overall uptime."," Dancing Blades - triggers a large auto-attack buff, which provides a bonus to Odyn's Fury's single target value."," Titanic Rage - a minor damage buff, but jumpstarts the AoE rotation by auto-applying important buffs, with even greater synergy in combination with Titan's",,," Shield Charge (SC) - Decent offensive cooldown and Rage generation tool. It is not great on its own, but it is good with the talent synergy below. Grants 20 rage. It deals slightly more single-target damage than Ravager, but less AoE damage."," Battle-Scarred Veteran (BSV) - Reactive defensive cooldown that provides a ton of damage reduction and increased healing taken. The 3-minute cooldown is long. After FINALLY being fixed in 10.2.7, this Talent is properly useful for new players and may have niche applications in high keys as a planned defensive. Great tool to recover from a mistake or generally when in trouble.", Whirling Blade - This talent randomly sends out more frequent and shorter versions of  Ravager.," Ravager - Great offensive Ability for initial threat in a pull, grants 60 rage over its course to help you stabilize and get the ""Rage Feedback Machine"" going.",,,,,,,,,,,,,,,,,,,,
11,,, Heroic Throw,,,,, Heroic Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Add Feat, Shield Slam,, Execute,,, Shield Slam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row 9 Talents,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Strikes,,,Demolish,,,Slayer’s Dominance,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crashing Thunder,Ground Current,Strength of the Mountain,Martial Expert,Colossal Might,Earthquake,Imminent Demise,Overwhelming Blades,Relentless Pursuit ,,,,,,,,
16,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunder Blast,Storm Bolts,Keep your feet on the Ground ,Arterial Bleed,Tide of Battle,No Stranger to Pain,Death Drive,Brutal Finish,Opportunist,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flashing Skies , Thorim’s Might,Burst of Power,Practiced Strikes,Precise Might,Mountain of Muscle and Scars,Show No Mercy,Reap the Storm,Slayer’s Malice,,,,,,,,
20,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avatar of the Storm,,,Dominance of the Colossus,,,Unrelenting Onslaught,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
